week_day,hour,month,branch,day,patron_total,PRCP,SNOW,SNWD
1,10,1,0,4,22,0,0,1.9
1,11,1,0,4,27,0,0,1.9
1,12,1,0,4,18,0,0,1.9
1,13,1,0,4,20,0,0,1.9
1,14,1,0,4,21,0,0,1.9
1,15,1,0,4,11,0,0,1.9
1,16,1,0,4,15,0,0,1.9
1,17,1,0,4,13,0,0,1.9
1,10,1,2,4,29,0,0,1.9
1,11,1,2,4,30,0,0,1.9
1,12,1,2,4,25,0,0,1.9
1,13,1,2,4,29,0,0,1.9
1,14,1,2,4,23,0,0,1.9
1,15,1,2,4,24,0,0,1.9
1,10,1,1,4,76,0,0,1.9
1,11,1,1,4,77,0,0,1.9
1,12,1,1,4,77,0,0,1.9
1,13,1,1,4,74,0,0,1.9
1,14,1,1,4,77,0,0,1.9
1,15,1,1,4,74,0,0,1.9
1,16,1,1,4,77,0,0,1.9
1,10,1,4,4,3,0,0,1.9
1,11,1,4,4,3,0,0,1.9
1,12,1,4,4,7,0,0,1.9
1,13,1,4,4,3,0,0,1.9
1,14,1,4,4,2,0,0,1.9
1,15,1,4,4,2,0,0,1.9
1,16,1,4,4,4,0,0,1.9
1,17,1,4,4,2,0,0,1.9
1,10,1,3,4,76,0,0,1.9
1,11,1,3,4,78,0,0,1.9
1,12,1,3,4,78,0,0,1.9
1,13,1,3,4,80,0,0,1.9
1,14,1,3,4,78,0,0,1.9
1,15,1,3,4,76,0,0,1.9
1,16,1,3,4,78,0,0,1.9
1,17,1,3,4,78,0,0,1.9
1,18,1,3,4,77,0,0,1.9
2,10,1,0,5,19,0,0,0.8
2,11,1,0,5,14,0,0,0.8
2,12,1,0,5,15,0,0,0.8
2,13,1,0,5,17,0,0,0.8
2,14,1,0,5,16,0,0,0.8
2,15,1,0,5,17,0,0,0.8
2,16,1,0,5,20,0,0,0.8
2,17,1,0,5,17,0,0,0.8
2,18,1,0,5,14,0,0,0.8
2,10,1,2,5,68,0,0,0.8
2,11,1,2,5,68,0,0,0.8
2,12,1,2,5,65,0,0,0.8
2,13,1,2,5,68,0,0,0.8
